	item	desc	domain	meaning	example_1	example_2	example_3	example_4
11205	MEROS	n	Possession and Exchange	heritage, inheritance, legacy	Bu meros ota-bobolarimizdan qolgan.	This heritage was left by our forefathers.		
11215	YO'QOT-	v.t	Possession and Exchange	lose | eliminate, abolish, put to an end	Xoshim qalamimni yo'qotdi.	Hashim lost my pencil.		
11227	TASHLA-	v.t	Possession and Exchange	throw, throw away | abandon, cast aside | give up, stop				
11232	BER-	v.t | NX+ni NY+ga ~	Possession and Exchange	give X to Y, hand X to Y, serve X to Y | grant X to Y, award X to Y	Ota bolaga olmani berdi.	The father gave the child the apple.	Sen kalitni mening akamga berib qo'ya olasanmi?	Can you hand the key to my brother?
11233	BER-	berib tur-	Possession and Exchange	lend				
11237	UZAT-	v.t | NX+ni NY+ga ~	Possession and Exchange	pass, hand over, give X to Y	U narvonda turardi, xotini esa unga asbobni uzatardi.	He was standing on the ladder, and his wife was handing him the instrument.		
11238	yetkaz-	v.t | NX+ni NY+ga ~	Possession and Exchange	transmit, pass on, convey, hand over, deliver, furnish X to Y (l/f)	Mening salomlarimni akangizga yetkazing.	Convey my greetings to your brother.	Buyruqni o'z hamkasblaringizga yetkazing.	Hand over the order to your colleagues.
11239	yetkaz-	NX+ni NY+ga ~+ib ber-	Possession and Exchange	pass on, deliver, supply X to Y, supply Y with X	Univermag xaridorlarga xolodilnik yetkazib beradi.	The general store supplies refrigerators to the clients.	Bizning tumanimiz davlatga paxta yetkazib beradi.	Our district supplies our country with raw cotton.
11240	TOPSHIR-	v.t | NX+ni NY+ga ~	Possession and Exchange	hand over, deliver X to Y	Maktab direktori eng yaxshi sinfga vimpel topshirdi.	The head of the school handed to the best class a pennant.	Bu paketni pochtaga topshiring!	Deliver this packet to the post office!
11244	ta'minla-	v.t | NX+ni NY bilan ~	Possession and Exchange	supply, provide X with Y	Bu elektr stansiyasi shaharni elektr quvvati bilan ta'minlaydi.	This electric power station supplies the town with electrical energy.		
11246	SOVG'A	n	Possession and Exchange	present, gift	Ushbu sovg'ani siz uchun keltirdim.	I brought this present for you.		
11250	HADYA	NX+ni NY+ga hadya qil-	Possession and Exchange	make Y a present, a gift of X, make donation of X to Y; endow Y with X	Odamlar o'z mablag'larini bolalar kasalxonasiga hadya qildilar.	The people endowed a children hospital.	"Respublikamiz mehnatkashlari pullarini ""Sog'lom avlod uchun"" jamg'armasiga hadya qilmoqdalar."	"The working people of our republic make donation of money to the fund ""Soglom avlod uchun""."
11256	IJARA	n	Possession and Exchange	rent				
11257	IJARA	ijaraga ber-	Possession and Exchange	let, rent out	Ijaraga beradigan uyingiz bormi?	Have you a room to let?		
11259	IJARA	NX+ni NY+dan/+nikida ~+ga ol-	Possession and Exchange	rent, hire X by Y, lease X from Y	O'tgan yozda u shu kishinikida xonani ijaraga olgan.	Last summer he has rented a room by this man.	Biz undan uchastkasini uch yilga ijaraga oldik.	We have leased a piece of land from him.
11266	KIRA/ YO'LKIRA	kiraga ol-	Possession and Exchange	hire (vehicle)	Yozda men kiraga mashina olmoqchiman.	I want to hire a car for summer.	Bu avtomobilni kiraga oldim.	I hired this car.
11271	taqsimla-	v.t | NX+ni NY+ga ~	Possession and Exchange	distribute X to Y, divide X by Y				
11278	qaytar-	v.t	Possession and Exchange	send back, return				
11279	qaytar-	NX+ni NY+ga ~+ib ber-	Possession and Exchange	send back, give back, return X to Y	Iltimos, kitobimni menga qaytarib ber.	Please give me back my book.		
11281	almashtir-	v.t | NX+ni NY+ga ~	Possession and Exchange	change X for Y, exchange X(= money, etc.) for Y	Biz ikki xonali kvartiramizni uch xonali kvartiraga almashtirmoqchimiz.	We want to exchange our two-room flat for a three-room flat.	O'zbek pulini Angliya puliga almashtirdim.	I changed the Uzbek money into English money.
11287	ISH	n	Work and Production	matter, affair, business, thing | work, job, task	Ishim boshimdan ortib yotibdi.	I am swamped with work.		
11295	ishsiz	adj	Work and Production	unemployed				
11297	ishla-	v.int	Work and Production	work				
11299	ishchi	n	Work and Production	worker, workman				
11300	ishxona	n	Work and Production	office | workshop				
11302	MEHNAT	n	Work and Production	work, labour	Uning mehnatini taqdirlaymiz.	We appreciate his work.		
11305	mehnatkash	n	Work and Production	labourer, worker				
11306	XIZMAT	n	Work and Production	service | work, labour; job	Xizmatingizga tayyorman.	I am at your service.		
11315	xizmatchi	n	Work and Production	employee, service worker | servant				
11317	xizmatkor	n	Work and Production	servant				
11319	HAMKOR	n	Work and Production	colleague, fellow-worker | collaborator	U gazetamizning hamkori.	He is a collaborator on our paper.		
11323	HUNAR	n	Work and Production	craft, handicraft, profession, trade | skill, talent	Qanday hunaringiz bor?	What is your profession?		
11324	hunarmand	n	Work and Production	craftsman, artisan				
11330	USTA	n	Work and Production	foreman, master worker				
11331	SHOGIRD	n	Work and Production	apprentice	Usta shogirdlariga ta'lim beryapti.	The craftsman is training his pupils.		
11333	KASB	n	Work and Production	profession, occupation, speciality	Kasbingiz nima?	What is your profession?		
11339	KASABA	n	Work and Production	profession, trade				
11343	ishla-	NX+ni ishlab chiqar-	Work and Production	produce X	Bu zavod traktor ishlab chiqaradi.	This plant produces tractors.		
11344	ishla-	ishlab chiqarish	Work and Production	production	Sanoatning ishlabchiqarish ishlariga e'tibor berishimiz kerak.	We must give our attention to the question of industrial productivity.		
11363	mahsulot	n	Work and Production	output, production, yield, product	Bu yil paxta maydonlaridan ko'p paxta mahsuloti oldik.	We got a heavy yield of cotton from the cotton fields this year.		
11366	unum	n	Work and Production	harvest, yield; output	Bu yil paxtadan yaxshi unum oldik.	This year we got a good harvest from the cotton crop.	Ular mehnat unumini o'sdirish uchun harakat etmoqdalar.	They are trying to raise productivity.
11369	unumdor	adj	Work and Production	fertile (land); productive				
11371	SHIRKAT	n	Work and Production	company, firm, cooperative society	Bu mamlakatda tijorat shirkatlari ko'p.	There are many trading companies in this country.		
11372	KOMPANIYA	n	Work and Production	company				
11378	bo'lim	n	Work and Production	section, unit, department, division				
11381	MUDIR	n	Work and Production	director, manager, head	Bu idoraning mudiri kim?	Who is the director of this establishment?	Magazin mudiri keldi.	The shop manager has come.
11385	BOSHQAR-	v.t	Work and Production	manage, direct, be in charge of; rule over	Muhandis Alimov radio to'garakni boshqaradi.	The engineer Alimov directs the radio circle.	Leyboristlar hukumati mamlakatni boshqarmoqda.	The Labour government rules now the country.
11387	boshqaruvchi	n	Work and Production	manager, director				
11391	IDORA	n	Work and Production	office, agency, unit, department	Bu idoraning boshlig'i kim?	Who is in charge of this office?	U militsiya idorasiga ketdi.	He went to the police station.
11396	OFIS	n	Work and Production	office				
11398	XODIM	n	Work and Production	personnel member, office worker, associate	Idora xodimlari o'z vaqtida ishga yetib keldilar.	The office workers came to work at the right time.		
11401	amaldor	n	Work and Production	official, civil servant				
11402	MANSAB	n	Work and Production	official position, post, rank	Qanday mansabingiz bor?	What is your job?		
11411	tayinla-	v.t | NX+ni NY+ga ~	Work and Production	appoint X to Y				
11416	bo'shat-	v.int | NX+ni NY+dan ~	Work and Production	remove X from Y(=work, post, office)	Direktor uni xizmatdan bo'shatdi.	The director has dismissed him from service.		
11420	ISTE'FO	ish tashla-	Work and Production	strike, go on strike	Ko'pgina mamlakatlarda ishchilar narx-navo oshirilishiga qarshi, ish haqi oshirilishi uchun ish tashlaydilar.	The workers in many countries strike against the rise in prices, for higher pay.	Ishchilar ish tashladilar.	The workers went on strike.
11425	DEHQON	n	Work and Production	farmer, peasant, farm-worker				
11427	dehqonchilik	qishloq xo'jaligi	Work and Production	agriculture				
11430	DALA	n	Work and Production	field				
11438	paxtakor	n	Work and Production	cotton grower				
11441	paxtazor	oq oltin	Work and Production	cotton				
11454	EK-	v.t	Work and Production	sow, plant	Biz bu yil ko'proq paxta ekamiz.	This year we are going to plant more cotton.		
11463	HOSIL	n	Work and Production	harvest, crop	Bu yil sabzavot va mevalar hosili mo'l bo'ldi.	The vegetables and fruits harvest is rich this year.		
11468	unum	n	Work and Production	harvest, yield; output	Bu yil paxtadan yaxshi unum oldik.	This year we got a good harvest from the cotton crop.	Ular mehnat unumini o'sdirish uchun harakat etmoqdalar.	They are trying to raise productivity.
11471	unumdor	adj	Work and Production	fertile (land); productive				
11479	YAYLOV	n	Work and Production	summer pasture				
11484	CHO'PON	n	Work and Production	shepherd				
11497	OV	n	Work and Production	hunt				
11500	ovla-	v.t	Work and Production	hunt (animals)	Kecha biz tulki ovladik.	Yesterday we have hunted a fox.		
11507	baliqchi	n	Work and Production	fisherman				
11514	SUG'OR-	v.t	Work and Production	water, irrigate	Dehqon paxta maydonlarini sug'ormoqda.	The farm-worker is irrigating the cotton fields.		
11518	QUDUQ	n	Work and Production	well				
11519	ARIQ	n	Work and Production	(irrigation) canal, ditch	Cho'llarni sug'orish uchun ariq qoziymiz.	We will dig canals to irrigate the steppes.		
11523	O'G'IT	n	Work and Production	fertilizer, manure	Dehqon yerga o'g'it solyapti.	The farmer is putting manure on the land.		
11531	SANOAT	n	Work and Production	industry				
11539	ZAVOD	n	Work and Production	factory				
11547	KON	n | NX ~+i	Work and Production	X mine, deposit of X, X bed	Germaniyada past navli toshko'mir konlari ko'p.	There are rich brown-coal-beds in Germany.	U ko'mir konida ishlaydi.	He works in a coal mine.
11556	ishchi	n	Work and Production	worker, workman				
11559	mehnatkash	n	Work and Production	labourer, worker				
11560	TEXNIK	n	Work and Production	technician, mechanic				
11562	INJENER	n	Work and Production	engineer				
11564	MUHANDIS	n	Work and Production	engineer				
11565	hunarmand	n	Work and Production	craftsman, artisan				
11570	ZARGAR	n	Work and Production	jeweler, goldsmith				
11577	quruvchi	n	Work and Production	builder, constructor (l/f)				
11581	bog'bon	n	Work and Production	gardener				
11584	tikuvchi	n	Work and Production	dressmaker, taylor				
11586	etikdo'z	n	Work and Production	shoemaker				
11592	haydovchi	n	Work and Production	driver				
11593	uchuvchi	n	Work and Production	pilot (plane)				
11595	dengizchi	n	Work and Production	sailor, seaman				
11599	pochtachi	n	Work and Production	post office worker, mailman				
11604	ME'MOR	n	Work and Production	architect				
11605	ISHBILARMON	n	Work and Production	businessman				
11607	savdogar	n	Work and Production	merchant, trader, businessman				
11609	sotuvchi	n	Work and Production	salesperson, seller				
11610	bozorchi	n	Work and Production	stallholder				
11616	NOVVOY	n	Work and Production	baker				
11617	QASSOB	n	Work and Production	butcher				
11627	oshpaz	n	Work and Production	cook				
11628	SARTAROSH	n	Work and Production	hairdresser, barber				
11632	maslahatchi	n	Work and Production	adviser; consultant, counselor				
11633	xizmatchi	n	Work and Production	employee, service worker | servant				
11634	xizmatkor	n	Work and Production	servant				
11642	OFITSIANT	n	Work and Production	waiter				
11646	FARROSH	n	Work and Production	janitor, streetsweeper				
11648	hisobchi	n	Work and Production	bookkeeper, accountant				
11650	KOTIB	n	Work and Production	secretary	Kotib yozuv ishlari bilan mashg'ul.	The secretary is busy with paper-work.		
11654	yordamchi	n	Work and Production	assistant, auxiliary				
11657	amaldor	n	Work and Production	official, civil servant				
11660	sudya	n	Work and Production	judge				
11661	ADVOKAT	n	Work and Production	lawyer, attorney				
11663	politsiyachi	n	Work and Production	policeman				
11666	DOKTOR	n	Work and Production	doctor				
11669	DOKTOR	tish doktori	Work and Production	dentist				
11670	shifokor	n	Work and Production	doctor; healer				
11673	JARROH	n	Work and Production	surgeon				
11675	HAMSHIRA	n	Work and Production	nurse				
11677	dorigar	n	Work and Production	pharmacist, chemist				
11680	MUXBIR	n	Work and Production	correspondent, journalist				
11685	o'qituvchi	n	Work and Production	teacher, lecturer				
11686	MUALLIM	n	Work and Production	teacher	Muallim bolalarga dars beradi.	The teacher is teaching the children.		
11688	PROFESSOR	n	Work and Production	professor				
11691	TARJIMON	n	Work and Production	translator, interpreter				
11693	yozuvchi	n	Work and Production	writer, author, letter writer				
11697	AKTYOR	n	Work and Production	actor				
11698	AKTRISA	n	Work and Production	actress				
11700	RASSOM	n	Work and Production	painter, artist				
11706	SOZANDA	n	Work and Production	musician (playing, traditional)				
11709	XONANDA	n	Work and Production	singer (traditional songs)				
11711	RAQQOS	n	Work and Production	dancer				
11714	IQTISOD	n	Economy	economy				
11717	iqtisodiy	adj	Economy	economic				
11721	ekonomika	n	Economy	economics				
11725	xo'jalik	n	Economy	economy	Mamlakat xo'jaligini qaytadan tiklash uchun kurashmoqdamiz.	We are striving to restore the economy of the country.		
11733	MABLAG'	n	Economy	capital, sum of money	Bizning mablag'imiz bir million dollar.	Our capital is one million dollars.		
11734	MOLIYA	n	Economy	finance	Moliya ministrligi davlatning pul siyosatiga javobgardir.	The Finance Ministry is responsible for the financial policy of the Government.		
11736	MOL	n	Economy	property, possessions, belongings | commodity, goods, articles, produce	Bu mollar o'tmaydi.	These goods have no market.		
11738	BUYUM	n	Economy	thing(s), articles (for use), goods	Keng iste'mol buyumlari yetishmaydi.	Consumer goods are in short supply.	Mening buyumlarim qani?	Where are my things?
11739	MARKA	n	Economy	trade mark				
11741	REKLAMA	n	Economy	advertisement, ad				
11743	E'LON	n	Economy	announcement, declaration; advertisement				
11744	PUL	n	Economy	money	Bu kitob necha pul turadi?	How much does this book cost?		
11757	NAQD	naqd pul	Economy	cash	Men unga naqd pul berdim.	I gave him cash.		
11759	QAYTIM	mayda pul	Economy	(small) change	Mayda pulim yo'q.	I have no change.		
11761	SO'M	n	Economy	som, rouble				
11764	TIYIN	n	Economy	cent, kopeck				
11766	TANGA	n	Economy	coin(s), silver coin				
11768	BANKNOT	n	Economy	bank note				
11770	DOLLAR	n	Economy	dollar				
11776	almashtir-	v.t | NX+ni NY+ga ~	Economy	change X for Y, exchange X(= money, etc.) for Y	Biz ikki xonali kvartiramizni uch xonali kvartiraga almashtirmoqchimiz.	We want to exchange our two-room flat for a three-room flat.	O'zbek pulini Angliya puliga almashtirdim.	I changed the Uzbek money into English money.
11778	BAHO	n	Economy	price, value, worth | grade, evaluation, mark	Sabzavot va mevalarning bahosi tushdi.	The prices of vegetables and fruits have receded.	Buning bahosi qancha?	How much does this cost?
11779	BAHO	NX+ga (AY) (N(ish)Z+ga qarab) ~ ber-	Economy	evaluate X (as Y), appraise X, give a reference to X, judge X (by Z)	O'qituvchi o'quvchilarga ularning o'zlashtirishiga qarab baho beradi.	The teacher judges the pupils by their progress.	Tanqidchi filmga yaxshi baho berdi.	The critic gave a good reference to the film.
11788	bahola-	v.t	Economy	fix the price | evaluate, estimate	Ularning munosabatlarini u to'g'ri baholadi.	He has rightly estimated their relations.		
11790	NARX	n	Economy	price, cost	Unning narxi oshdi.	The price of flour has risen.		
11795	KIRA/ YO'LKIRA	yo'l haqi	Economy	fare				
11796	QIYMAT	n	Economy	cost, value, price	Bu molning qiymati qancha?	How much does this thing cost?		
11797	TUR-	v.int | NY+ga NX ~	Economy	cost X(=price, money) to Y	Bu sayohat senga qimmat turmaydi.	This travel will not cost you very much.	Bu qovun qancha turadi?	How much is this melon?
11799	QIMMAT	adj | (bahosi) qimmat	Economy	expensive, costly	Ko'ylaklarning bahosi qimmat.	The price of shirts is high.		
11801	ARZON	adj	Economy	cheap, low (price)				
